,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
21,100,2,1000,5.893997669219971,reweight_LS,8.705291467843473,10.162942218350661,1.0,0.6
22,100,2,1000,5.6838319301605225,reweight_LS,12.077197879073015,12.123082914889103,1.0,0.8
23,100,2,1000,59.94721293449402,SPO,7.0019913416295445,7.74336268875377,,
24,100,2,1000,3.014070987701416,LS,7.666183565953974,9.74817380536949,,
25,100,2,1000,6.094007730484009,reweight_LS,7.191475728394561,9.867689148178936,1.0,0.2
26,100,2,1000,6.094387054443359,reweight_LS,7.094789381976188,9.35681618036394,1.0,0.4
27,100,2,1000,6.0530312061309814,reweight_LS,6.602648100961451,9.701456427039254,1.0,0.6
28,100,2,1000,5.859503746032715,reweight_LS,7.503485036665642,9.394130600724427,1.0,0.8
29,100,2,1000,59.018667221069336,SPO,6.851616196775669,8.826028610357096,,
30,100,2,1000,2.979947090148926,LS,6.987424235590094,7.302899255082129,,
31,100,2,1000,5.93510103225708,reweight_LS,7.51028699488512,7.533669137975225,1.0,0.2
32,100,2,1000,6.078974962234497,reweight_LS,8.149693344285199,7.552772030722039,1.0,0.4
33,100,2,1000,6.023287296295166,reweight_LS,8.502928552508008,9.060356871709772,1.0,0.6
34,100,2,1000,5.884615182876587,reweight_LS,9.956917233291488,9.30641356493162,1.0,0.8
35,100,2,1000,59.57805418968201,SPO,7.295163571773328,7.3094472051534325,,
36,100,2,1000,3.090559959411621,LS,6.685595529933657,8.04033412538624,,
37,100,2,1000,6.048886060714722,reweight_LS,7.396572858643641,8.154988476424876,1.0,0.2
38,100,2,1000,6.27811598777771,reweight_LS,6.578269918129652,8.127884276242748,1.0,0.4
39,100,2,1000,6.195924758911133,reweight_LS,8.192826274892122,9.160098708210299,1.0,0.6
40,100,2,1000,6.037350177764893,reweight_LS,9.938209362292811,11.290571634321362,1.0,0.8
41,100,2,1000,59.73805212974548,SPO,6.728573957467657,7.825956539433777,,
42,100,2,1000,2.9976210594177246,LS,7.668725004585034,8.459736000789995,,
43,100,2,1000,5.925379991531372,reweight_LS,7.044356075490364,8.641336833623539,1.0,0.2
